tax_name,num_classes,min_f1,mean_f1,min_prec,mean_prec,min_rec,mean_rec,mean_eval_loss
"Non-Memo, Recollect[50], Code, Others",4,72.8,77.9,71.3,78.2,72.7,77.8,0.045
"Non-Memo, Recollect[5], Code, Others",4,72.0,78.4,70.5,79.1,71.2,78.3,0.0442
"Non-Memo, Recollect[5], Guess, Others",4,71.5,79.8,65.7,80.6,68.4,79.7,0.0402
"Non-Memo, Recite[5], Guess, Others",4,70.3,79.2,63.3,80.6,70.0,78.9,0.0435
"Non-Memo, Recollect[50], Guess, Others",4,69.2,79.8,66.9,80.0,71.7,79.6,0.0402
"Non-Memo, Guess, Recite[5], Others",4,69.1,79.5,63.3,80.4,76.1,79.1,0.0416
"Non-Memo, Recollect[5], Reconstruct, Others",4,68.3,80.6,61.2,81.9,75.4,80.1,0.0393
"Non-Memo, Recollect[50], Reconstruct, Others",4,68.3,81.6,63.8,82.3,73.4,81.3,0.0373
"Non-Memo, Recite[50], Guess, Others",4,65.7,77.8,62.5,78.4,69.1,77.6,0.0437
"Non-Memo, Reconstruct, Recite[5], Others",4,65.2,79.4,60.9,80.1,70.1,79.0,0.0412
"Non-Memo, Recite[1k], Guess, Others",4,64.8,77.0,62.9,77.3,65.8,76.9,0.0416
"Non-Memo, Recite[5], Reconstruct, Others",4,64.7,79.6,62.7,80.1,66.7,79.4,0.0414
"Non-Memo, Guess, Recite[50], Others",4,64.5,77.8,61.5,78.4,67.9,77.5,0.0427
"Non-Memo, Recite[1k], Code, Others",4,63.9,71.3,61.4,71.6,61.3,71.1,0.0502
"Non-Memo, Code, Recite[5], Others",4,63.7,72.4,58.8,73.7,58.3,72.1,0.0495
"Non-Memo, Recollect[1k], Reconstruct, Others",4,63.1,80.2,62.7,80.2,63.6,80.2,0.0355
"Non-Memo, Reconstruct, Recite[50], Others",4,62.4,79.4,62.3,79.5,62.5,79.4,0.0406
"Non-Memo, Recite[50], Reconstruct, Others",4,61.8,79.0,62.6,79.2,61.0,79.1,0.0412
"Non-Memo, Guess, Recite[1k], Others",4,61.5,77.0,62.4,77.0,60.7,77.1,0.0404
"Non-Memo, Recollect[1k], Guess, Others",4,61.1,77.5,63.8,77.6,58.6,77.6,0.0402
"Non-Memo, Recollect[1k], Code, Others",4,59.7,72.3,63.6,72.6,56.3,72.3,0.0484
"Non-Memo, Recite[1k], Reconstruct, Others",4,59.7,78.0,63.0,77.9,56.7,78.5,0.0392
"Non-Memo, Code, Recite[50], Others",4,59.1,69.3,53.4,70.4,59.1,68.9,0.0512
"Non-Memo, Reconstruct, Recite[1k], Others",4,59.1,78.2,61.9,78.1,56.5,78.5,0.0386
"Non-Memo, Code, Recite[1k], Others",4,55.4,68.0,60.0,68.8,49.8,68.3,0.0511
"Non-Memo, Recite[5], Code, Others",4,49.8,70.0,55.8,70.9,44.9,70.1,0.0504
"Non-Memo, Recite[50], Code, Others",4,49.7,69.9,57.0,70.6,44.0,70.2,0.0512
"Non-Memo, Guess, Others",3,89.0,89.9,87.6,89.9,88.8,89.9,0.0242
"Non-Memo, Reconstruct, Others",3,87.7,90.7,89.9,90.9,83.4,90.8,0.0228
"Non-Memo, Guess-or-Recollect[5], Others",3,83.8,87.3,83.7,87.4,84.0,87.3,0.0278
"Non-Memo, Reconstruct-or-Recollect[5], Others",3,81.7,85.9,78.9,86.1,84.7,85.8,0.0304
"Non-Memo, Recite[5], Others",3,80.8,85.1,77.7,85.4,84.1,85.0,0.0308
"Non-Memo, Recollect[5], Others",3,80.4,84.6,76.6,85.0,82.7,84.5,0.0314
"Non-Memo, Guess-or-Recollect[50], Others",3,80.3,85.6,82.7,85.7,78.0,85.7,0.0294
"Non-Memo, Reconstruct-or-Recollect[50], Others",3,78.0,84.2,77.6,84.4,78.5,84.2,0.0316
"Non-Memo, Recite[5]-or-Reconstruct, Others",3,77.7,82.8,72.6,83.4,78.4,82.6,0.033
"Non-Memo, Recollect[50], Others",3,77.4,83.7,76.5,83.9,78.3,83.6,0.0323
"Non-Memo, Recite[50], Others",3,76.5,83.2,76.9,83.4,76.1,83.2,0.0325
"Non-Memo, Code-or-Recollect[5], Others",3,76.0,81.7,72.6,82.0,75.2,81.6,0.0325
"Non-Memo, Code, Others",3,75.6,81.3,72.1,82.0,70.5,81.3,0.0338
"Non-Memo, Recite[5]-or-Code, Others",3,73.9,79.2,65.9,81.0,68.0,79.0,0.0369
"Non-Memo, Code-or-Recollect[50], Others",3,73.6,80.5,71.0,80.7,74.6,80.4,0.0334
"Non-Memo, Recite[50]-or-Reconstruct, Others",3,73.4,80.6,70.0,81.0,77.1,80.4,0.0346
"Non-Memo, Recite[1k]-or-Code, Others",3,72.0,78.5,71.0,78.5,72.7,78.4,0.0361
"Non-Memo, Recite[5]-or-Guess, Others",3,71.2,77.6,63.6,79.2,68.6,77.2,0.0377
"Non-Memo, Guess-or-Recollect[1k], Others",3,69.9,80.5,74.7,80.9,65.2,80.7,0.0325
"Non-Memo, Recite[1k], Others",3,69.4,79.5,70.3,79.8,68.6,79.4,0.0339
"Non-Memo, Recite[50]-or-Code, Others",3,69.4,75.8,61.1,77.9,62.0,75.5,0.0387
"Non-Memo, Recollect[1k], Others",3,68.8,79.3,70.6,79.5,67.1,79.2,0.034
"Non-Memo, Recite[50]-or-Guess, Others",3,68.6,75.6,61.4,77.2,64.6,75.2,0.0394
"Non-Memo, Recite[1k]-or-Guess, Others",3,68.2,76.3,65.7,76.8,62.8,76.3,0.0366
"Non-Memo, Reconstruct-or-Recollect[1k], Others",3,68.0,78.9,71.0,79.0,65.3,79.0,0.0339
"Non-Memo, Recite[1k]-or-Reconstruct, Others",3,66.7,75.9,62.3,76.5,66.1,75.7,0.0364
"Non-Memo, Code-or-Recollect[1k], Others",3,66.1,76.8,65.6,77.0,66.7,76.6,0.036
