tax_name,num_classes,min_f1,mean_f1,min_prec,mean_prec,min_rec,mean_rec,mean_eval_loss
"Non-Memo, Recollect[5], Code, Others",4,71.8,78.4,70.6,78.8,69.7,78.3,0.0447
"Non-Memo, Recollect[50], Code, Others",4,71.0,77.7,69.8,78.0,72.1,77.5,0.0453
"Non-Memo, Recollect[5], Guess, Others",4,70.1,79.9,65.5,80.6,69.2,79.8,0.0399
"Non-Memo, Guess, Recite[5], Others",4,68.9,79.6,64.5,80.4,74.0,79.2,0.0412
"Non-Memo, Recite[5], Guess, Others",4,68.7,78.4,62.8,79.6,70.2,78.1,0.0441
"Non-Memo, Recollect[5], Reconstruct, Others",4,67.8,80.5,60.9,81.8,76.6,80.0,0.0396
"Non-Memo, Recollect[50], Guess, Others",4,67.6,79.6,66.1,79.8,69.2,79.5,0.0402
"Non-Memo, Recite[1k], Guess, Others",4,66.1,78.2,67.3,78.4,65.0,78.2,0.0406
"Non-Memo, Recollect[50], Reconstruct, Others",4,65.6,80.0,59.8,81.1,72.7,79.5,0.0391
"Non-Memo, Recite[1k], Code, Others",4,65.2,72.2,62.8,72.3,63.9,72.2,0.0497
"Non-Memo, Recite[50], Guess, Others",4,64.8,77.1,63.1,77.6,66.6,77.1,0.0441
"Non-Memo, Code, Recite[5], Others",4,64.0,71.6,57.2,72.9,58.3,71.2,0.0501
"Non-Memo, Recite[5], Reconstruct, Others",4,63.4,79.0,60.7,79.8,66.4,78.8,0.0425
"Non-Memo, Guess, Recite[50], Others",4,63.1,77.4,60.9,77.7,65.5,77.1,0.0424
"Non-Memo, Guess, Recite[1k], Others",4,63.0,77.8,62.6,77.9,63.5,77.7,0.0401
"Non-Memo, Reconstruct, Recite[5], Others",4,62.7,78.3,59.3,79.1,66.5,78.0,0.0422
"Non-Memo, Recollect[1k], Guess, Others",4,62.2,77.8,63.1,78.1,61.4,77.7,0.0395
"Non-Memo, Reconstruct, Recite[50], Others",4,61.2,78.9,61.5,79.4,60.9,78.9,0.0416
"Non-Memo, Reconstruct, Recite[1k], Others",4,60.0,78.9,65.4,78.8,55.5,79.4,0.0378
"Non-Memo, Recollect[1k], Reconstruct, Others",4,60.0,79.1,62.0,78.9,58.1,79.3,0.0356
"Non-Memo, Recite[1k], Reconstruct, Others",4,59.7,77.7,63.3,77.6,56.4,78.3,0.0385
"Non-Memo, Recite[50], Reconstruct, Others",4,59.3,77.9,61.8,78.1,57.0,78.2,0.0417
"Non-Memo, Recollect[1k], Code, Others",4,58.6,71.7,62.6,72.0,55.1,71.7,0.0488
"Non-Memo, Code, Recite[50], Others",4,55.4,69.1,52.7,69.8,58.4,68.6,0.051
"Non-Memo, Code, Recite[1k], Others",4,54.6,68.3,60.3,68.8,49.7,68.5,0.0508
"Non-Memo, Recite[50], Code, Others",4,53.4,70.5,60.8,71.3,47.5,70.7,0.051
"Non-Memo, Recite[5], Code, Others",4,49.6,70.1,55.1,71.0,45.1,70.2,0.0503
"Non-Memo, Guess, Others",3,89.2,90.0,86.9,90.1,88.4,90.0,0.0244
"Non-Memo, Reconstruct, Others",3,87.5,90.2,88.7,90.4,83.6,90.3,0.0238
"Non-Memo, Guess-or-Recollect[5], Others",3,84.0,87.4,82.0,87.6,86.0,87.4,0.0274
"Non-Memo, Reconstruct-or-Recollect[5], Others",3,80.8,85.5,78.2,85.8,83.5,85.4,0.0305
"Non-Memo, Recite[5], Others",3,80.0,84.8,77.7,85.1,82.4,84.7,0.0311
"Non-Memo, Recollect[5], Others",3,78.5,83.4,74.3,83.9,81.4,83.2,0.0323
"Non-Memo, Guess-or-Recollect[50], Others",3,77.9,84.1,81.3,84.2,74.9,84.2,0.0307
"Non-Memo, Recite[5]-or-Reconstruct, Others",3,76.8,82.4,73.1,82.8,79.9,82.3,0.0328
"Non-Memo, Code-or-Recollect[5], Others",3,76.4,82.1,74.0,82.2,76.4,82.1,0.032
"Non-Memo, Code, Others",3,76.2,81.4,74.3,81.5,73.6,81.3,0.0335
"Non-Memo, Recollect[50], Others",3,76.1,83.0,75.0,83.3,77.1,82.9,0.0329
"Non-Memo, Reconstruct-or-Recollect[50], Others",3,75.7,83.1,76.4,83.3,75.0,83.0,0.0319
"Non-Memo, Recite[50], Others",3,74.4,82.0,74.3,82.2,74.6,81.9,0.0338
"Non-Memo, Recite[1k]-or-Code, Others",3,74.2,79.7,72.6,79.8,73.2,79.7,0.0346
"Non-Memo, Recite[5]-or-Code, Others",3,73.9,79.2,64.8,81.5,66.8,78.9,0.0371
"Non-Memo, Code-or-Recollect[50], Others",3,72.7,80.2,71.1,80.3,74.5,80.0,0.0332
"Non-Memo, Recite[50]-or-Reconstruct, Others",3,71.2,79.8,69.9,80.1,72.5,79.6,0.035
"Non-Memo, Guess-or-Recollect[1k], Others",3,70.3,80.8,75.3,81.2,65.6,81.0,0.0319
"Non-Memo, Recite[5]-or-Guess, Others",3,70.2,77.7,65.3,78.5,73.5,77.3,0.0367
"Non-Memo, Reconstruct-or-Recollect[1k], Others",3,68.5,78.9,70.0,78.9,67.1,79.0,0.0336
"Non-Memo, Recollect[1k], Others",3,68.5,79.0,69.9,79.3,67.1,79.0,0.0336
"Non-Memo, Recite[1k], Others",3,68.2,79.4,72.2,80.0,64.6,79.5,0.034
