tax_name,num_classes,min_f1,mean_f1,min_prec,mean_prec,min_rec,mean_rec,mean_eval_loss
"Non-Memo, Recollect[50], Code, Others",4,75.7,79.3,72.8,79.8,70.2,79.3,0.0433
"Non-Memo, Recollect[5], Guess, Others",4,73.1,80.2,65.8,81.4,67.7,80.0,0.0403
"Non-Memo, Recollect[5], Code, Others",4,72.6,78.9,70.6,80.1,67.4,78.9,0.0434
"Non-Memo, Recollect[50], Guess, Others",4,72.3,80.2,66.8,80.8,72.2,80.0,0.0402
"Non-Memo, Recollect[50], Reconstruct, Others",4,71.5,83.6,68.3,84.1,75.1,83.4,0.0358
"Non-Memo, Recite[5], Guess, Others",4,70.7,79.3,62.2,81.2,69.3,78.9,0.0427
"Non-Memo, Guess, Recite[5], Others",4,70.3,79.7,63.2,80.9,77.2,79.3,0.0423
"Non-Memo, Recollect[5], Reconstruct, Others",4,69.9,81.8,63.7,82.8,75.9,81.4,0.0389
"Non-Memo, Guess, Recite[50], Others",4,68.6,79.7,63.4,80.5,74.6,79.4,0.042
"Non-Memo, Reconstruct, Recite[5], Others",4,66.8,80.0,61.1,81.0,73.8,79.6,0.041
"Non-Memo, Recite[50], Guess, Others",4,66.6,78.7,62.0,79.7,72.1,78.4,0.0431
"Non-Memo, Recollect[1k], Reconstruct, Others",4,66.6,81.7,64.1,82.0,69.3,81.5,0.0362
"Non-Memo, Recite[5], Reconstruct, Others",4,66.2,80.4,63.9,80.9,68.6,80.2,0.0399
"Non-Memo, Code, Recite[5], Others",4,64.7,73.4,60.0,75.1,61.5,73.2,0.0485
"Non-Memo, Recite[1k], Guess, Others",4,64.4,76.2,59.6,76.9,62.4,75.9,0.0423
"Non-Memo, Reconstruct, Recite[50], Others",4,63.3,79.8,63.5,80.0,63.0,79.8,0.0408
"Non-Memo, Recite[50], Reconstruct, Others",4,63.1,79.8,63.4,80.2,62.8,79.8,0.041
"Non-Memo, Recollect[1k], Guess, Others",4,62.5,77.7,63.7,78.0,61.4,77.6,0.041
"Non-Memo, Recollect[1k], Code, Others",4,62.2,73.5,63.3,73.9,61.1,73.4,0.0474
"Non-Memo, Recite[1k], Code, Others",4,61.5,70.3,58.9,71.2,56.1,70.1,0.0505
"Non-Memo, Guess, Recite[1k], Others",4,61.5,76.7,61.5,77.0,61.5,76.8,0.0409
"Non-Memo, Code, Recite[50], Others",4,60.3,70.5,56.0,72.2,53.8,70.3,0.0505
"Non-Memo, Recite[1k], Reconstruct, Others",4,59.7,78.7,64.8,78.6,55.3,79.2,0.0399
"Non-Memo, Reconstruct, Recite[1k], Others",4,59.6,78.1,60.6,78.2,58.5,78.2,0.0393
"Non-Memo, Code, Recite[1k], Others",4,53.1,67.8,58.2,69.2,45.8,68.4,0.0512
"Non-Memo, Recite[5], Code, Others",4,50.7,70.7,55.3,72.6,43.8,70.8,0.05
"Non-Memo, Recite[50], Code, Others",4,46.7,69.5,54.1,70.2,41.0,70.0,0.0506
"Non-Memo, Guess, Others",3,88.4,89.7,87.0,89.8,89.4,89.7,0.0249
"Non-Memo, Reconstruct, Others",3,88.1,90.9,89.6,91.1,83.8,91.0,0.023
"Non-Memo, Recollect[5], Others",3,83.2,86.9,78.5,87.4,85.6,86.8,0.0294
"Non-Memo, Reconstruct-or-Recollect[5], Others",3,83.1,86.9,79.7,87.1,85.4,86.8,0.0297
"Non-Memo, Guess-or-Recollect[5], Others",3,83.0,87.0,82.3,87.0,83.7,86.9,0.0286
"Non-Memo, Guess-or-Recollect[50], Others",3,82.4,87.0,81.8,87.2,82.9,87.0,0.0286
"Non-Memo, Recite[5], Others",3,81.9,86.0,78.1,86.3,84.3,85.9,0.0292
"Non-Memo, Recollect[50], Others",3,80.6,85.8,78.2,86.0,83.2,85.7,0.0298
"Non-Memo, Reconstruct-or-Recollect[50], Others",3,80.2,85.6,78.0,86.0,82.7,85.5,0.03
"Non-Memo, Recite[50], Others",3,79.8,85.3,78.7,85.6,81.0,85.3,0.0305
"Non-Memo, Recite[5]-or-Reconstruct, Others",3,78.9,83.7,72.7,84.5,79.2,83.4,0.0326
"Non-Memo, Recite[50]-or-Reconstruct, Others",3,76.4,82.4,71.0,83.2,77.8,82.2,0.0334
"Non-Memo, Code-or-Recollect[5], Others",3,76.3,81.8,70.7,82.5,72.8,81.6,0.0325
"Non-Memo, Recite[5]-or-Code, Others",3,75.0,80.2,66.7,82.0,70.0,79.9,0.0362
"Non-Memo, Code, Others",3,74.6,80.9,70.0,82.2,68.3,80.8,0.0349
"Non-Memo, Code-or-Recollect[50], Others",3,74.0,80.9,70.5,81.3,74.8,80.7,0.0333
"Non-Memo, Recite[5]-or-Guess, Others",3,72.7,78.0,62.5,81.1,65.3,77.6,0.0381
"Non-Memo, Recite[1k], Others",3,72.3,80.7,69.4,81.1,75.5,80.4,0.0333
"Non-Memo, Recite[50]-or-Code, Others",3,71.6,77.4,62.2,80.0,64.8,77.1,0.0379
"Non-Memo, Recite[50]-or-Guess, Others",3,71.2,77.3,62.8,79.4,65.8,76.9,0.039
"Non-Memo, Recite[1k]-or-Code, Others",3,70.4,77.6,68.6,77.7,71.3,77.5,0.0373
"Non-Memo, Recite[1k]-or-Guess, Others",3,70.0,76.8,67.1,77.0,66.9,76.8,0.0367
