tax_name,num_classes,min_f1
"Non-Memo, Recollect[5], Code, Others",4,71.8
"Non-Memo, Recollect[50], Code, Others",4,71.0
"Non-Memo, Recollect[5], Guess, Others",4,70.1
"Non-Memo, Guess, Recite[5], Others",4,68.9
"Non-Memo, Recite[5], Guess, Others",4,68.7
"Non-Memo, Recollect[5], Reconstruct, Others",4,67.8
"Non-Memo, Recollect[50], Guess, Others",4,67.6
"Non-Memo, Recite[1k], Guess, Others",4,66.1
"Non-Memo, Recollect[50], Reconstruct, Others",4,65.6
"Non-Memo, Recite[1k], Code, Others",4,65.2
"Non-Memo, Recite[50], Guess, Others",4,64.8
"Non-Memo, Code, Recite[5], Others",4,64.0
"Non-Memo, Recite[5], Reconstruct, Others",4,63.4
"Non-Memo, Guess, Recite[50], Others",4,63.1
"Non-Memo, Guess, Recite[1k], Others",4,63.0
"Non-Memo, Reconstruct, Recite[5], Others",4,62.7
"Non-Memo, Recollect[1k], Guess, Others",4,62.2
"Non-Memo, Reconstruct, Recite[50], Others",4,61.2
"Non-Memo, Reconstruct, Recite[1k], Others",4,60.0
"Non-Memo, Recollect[1k], Reconstruct, Others",4,60.0
"Non-Memo, Recite[1k], Reconstruct, Others",4,59.7
"Non-Memo, Recite[50], Reconstruct, Others",4,59.3
"Non-Memo, Recollect[1k], Code, Others",4,58.6
"Non-Memo, Code, Recite[50], Others",4,55.4
"Non-Memo, Code, Recite[1k], Others",4,54.6
"Non-Memo, Recite[50], Code, Others",4,53.4
"Non-Memo, Recite[5], Code, Others",4,49.6
"Non-Memo, Guess, Others",3,89.2
"Non-Memo, Reconstruct, Others",3,87.5
"Non-Memo, Guess-or-Recollect[5], Others",3,84.0
"Non-Memo, Reconstruct-or-Recollect[5], Others",3,80.8
"Non-Memo, Recite[5], Others",3,80.0
"Non-Memo, Recollect[5], Others",3,78.5
"Non-Memo, Guess-or-Recollect[50], Others",3,77.9
"Non-Memo, Recite[5]-or-Reconstruct, Others",3,76.8
"Non-Memo, Code-or-Recollect[5], Others",3,76.4
"Non-Memo, Code, Others",3,76.2
"Non-Memo, Recollect[50], Others",3,76.1
"Non-Memo, Reconstruct-or-Recollect[50], Others",3,75.7
"Non-Memo, Recite[50], Others",3,74.4
"Non-Memo, Recite[1k]-or-Code, Others",3,74.2
"Non-Memo, Recite[5]-or-Code, Others",3,73.9
"Non-Memo, Code-or-Recollect[50], Others",3,72.7
"Non-Memo, Recite[50]-or-Reconstruct, Others",3,71.2
"Non-Memo, Guess-or-Recollect[1k], Others",3,70.3
"Non-Memo, Recite[5]-or-Guess, Others",3,70.2
"Non-Memo, Reconstruct-or-Recollect[1k], Others",3,68.5
"Non-Memo, Recollect[1k], Others",3,68.5
"Non-Memo, Recite[1k], Others",3,68.2
"Non-Memo, Recite[1k]-or-Guess, Others",3,67.6
"Non-Memo, Recite[50]-or-Code, Others",3,67.5
"Non-Memo, Recite[50]-or-Guess, Others",3,67.3
"Non-Memo, Recite[1k]-or-Reconstruct, Others",3,67.0
"Non-Memo, Code-or-Recollect[1k], Others",3,62.3
