Rouge-L,Rouge-3,Threshold,min_f1,mean_f1,min_prec,mean_prec,min_rec,mean_rec,mean_eval_loss
Yes,Yes,0.6,89.2,90.4,87.3,90.5,87.1,90.4,0.0241
Yes,No,0.6,89.0,90.3,87.0,90.4,87.2,90.3,0.0241
Yes,Yes,0.5,88.8,89.7,87.1,89.7,88.4,89.7,0.0245
Yes,No,0.5,88.5,89.4,86.6,89.5,88.1,89.4,0.0249
Yes,No,0.7,88.4,90.3,86.7,90.5,85.3,90.4,0.0238
Yes,Yes,0.9,88.4,90.8,87.5,91.1,84.8,90.9,0.023
Yes,Yes,0.7,88.3,90.3,86.9,90.5,85.5,90.3,0.0238
No,Yes,0.5,88.3,89.8,86.5,89.9,85.4,89.8,0.0251
Yes,No,0.9,88.0,90.6,87.7,90.8,84.4,90.7,0.0237
Yes,Yes,0.8,87.9,90.3,86.6,90.6,84.9,90.4,0.0246
No,Yes,0.4,87.8,89.3,85.7,89.4,85.7,89.3,0.0253
No,Yes,0.6,87.8,89.8,86.5,90.0,84.6,89.8,0.0246
Yes,No,0.8,87.7,90.1,87.2,90.3,84.0,90.1,0.0243
No,Yes,0.7,87.7,90.2,87.0,90.4,84.2,90.2,0.0243
No,Yes,0.3,87.6,88.8,85.4,88.8,86.9,88.7,0.0257
No,Yes,0.9,87.4,90.4,88.1,90.5,83.4,90.4,0.0234
No,Yes,0.8,87.2,89.9,87.6,90.0,83.9,89.9,0.0239
No,Yes,0.2,86.9,88.6,84.7,88.7,87.0,88.6,0.0264
Yes,No,0.4,86.5,88.4,85.9,88.4,87.1,88.4,0.026
Yes,Yes,0.4,86.1,88.2,86.3,88.2,85.9,88.2,0.0261
Yes,No,0.3,84.4,87.3,84.3,87.3,84.5,87.3,0.0268
No,Yes,0.1,84.1,87.2,83.7,87.3,84.4,87.2,0.0279
Yes,Yes,0.3,83.7,87.3,84.3,87.3,81.6,87.3,0.0269
Yes,Yes,0.2,77.3,83.8,77.9,84.2,73.5,83.8,0.0304
Yes,No,0.2,77.1,83.5,78.2,83.7,74.3,83.5,0.0299
Yes,Yes,0.1,74.4,82.0,75.7,82.3,70.5,82.0,0.0324
Yes,No,0.1,74.0,81.5,75.8,81.6,72.2,81.4,0.0326
